Dataset,Variant,Noise Level,model,accuracy,precision,R19 Compl,BR19 (Mean) Compl,BR19 (Marg) Compl,DiCE Compl,NICE Compl,RL Compl,R19 L1,BR19 (Mean) L1,BR19 (Marg) L1,DiCE L1,NICE L1,RL L1,R19 L2,BR19 (Mean) L2,BR19 (Marg) L2,DiCE L2,NICE L2,RL L2
gsc,standard,noise_0,blr,0.9313333333333333,0.9038690795352994,,1.0,,,,,,0.0,,,,,,0.0,,,,
gsc,standard,noise_0,lr,0.931,0.9031695462312512,1.0,,,,1.0,0.9953333333333333,0.0,,,,25.01301273849142,28.51622180806908,0.0,,,,11.334139972029705,11.76480529484478
gsc,standard,noise_0,rf,0.935,0.9183931388110107,,,,,1.0,0.997,,,,,26.017005543545398,37.520724721732485,,,,,12.15899694680914,18.389799956838008
gsc,standard,noise_0,tf,0.9343333333333333,0.9161025186551481,,,,,,,,,,,,,,,,,,
gsc,standard,noise_1,blr,0.9116666666666666,0.8760548875528834,,1.0,,,,,,124.96583826201983,,,,,,87.61269581225844,,,,
gsc,standard,noise_1,lr,0.9116666666666666,0.8760548875528834,1.0,,,,1.0,0.0,124.72746706183034,,,,221.14937029220596,,87.57886681197904,,,,148.43068930667275,
gsc,standard,noise_1,rf,0.9103333333333333,0.8614775769745651,,,,,1.0,0.991,,,,,165.91222554082788,25.9264787820336,,,,,120.74463036099999,12.302237640473967
gsc,standard,noise_1,tf,0.9086666666666666,0.8308937924885769,,,,,,,,,,,,,,,,,,
gsc,standard,noise_2,blr,0.8963333333333333,0.855958695168114,,1.0,,,,,,159.27117340800666,,,,,,117.62483189646095,,,,
gsc,standard,noise_2,lr,0.8963333333333333,0.855958695168114,1.0,,,,1.0,0.0,159.31003232248247,,,,209.57057331268297,,117.62127176132499,,,,134.83557395557978,
gsc,standard,noise_2,rf,0.896,0.8485231253878096,,,,,1.0,0.001,,,,,184.07432438836642,27.266290265623883,,,,,131.41416324261058,14.04381052201368
gsc,standard,noise_2,tf,0.8953333333333333,0.8242909293266554,,,,,,,,,,,,,,,,,,
gsc,standard,noise_3,blr,0.875,0.8409348914858097,,1.0,,,,,,168.62723323461407,,,,,,125.28589819216629,,,,
gsc,standard,noise_3,lr,0.875,0.8409348914858097,1.0,,,,1.0,0.0003333333333333333,168.63715007337228,,,,296.1052379556287,20.0,125.29283923840558,,,,203.07631653736985,6.324555320336759
gsc,standard,noise_3,rf,0.8743333333333333,0.8070016683350018,,,,,1.0,0.0026666666666666666,,,,,308.07243319179435,24.42244730757067,,,,,236.94864356711298,12.042901857582851
gsc,standard,noise_3,tf,0.8653333333333333,0.7841333333333333,,,,,,,,,,,,,,,,,,
gsc,standard,noise_4,blr,0.8653333333333333,0.8834744914971658,,1.0,,,,,,179.00415879582295,,,,,,131.89402183810344,,,,
gsc,standard,noise_4,lr,0.8653333333333333,0.8834744914971658,1.0,,,,0.0003333333333333333,0.0,179.1094356242788,,,,20.0,,131.92111342016375,,,,6.324555320336759,
gsc,standard,noise_4,rf,0.8653333333333333,0.8298964941569282,,,,,1.0,0.0003333333333333333,,,,,151.5340921192309,20.0,,,,,105.44914662631143,6.324555320336759
gsc,standard,noise_4,tf,0.859,0.7650302419354839,,,,,,,,,,,,,,,,,,
gsc,standard,noise_5,blr,0.8453333333333334,0.7145884444444445,,1.0,,,,,,177.08448544414284,,,,,,133.08197910252346,,,,
gsc,standard,noise_5,lr,0.8453333333333334,0.7145884444444445,1.0,,,,0.0,0.0,177.0234245115448,,,,,,133.08386151706577,,,,,
