Dataset,Variant,Noise Level,model,accuracy,precision,R19 Compl,BR19 (Mean) Compl,BR19 (Marg) Compl,DiCE Compl,NICE Compl,RL Compl,R19 L1,BR19 (Mean) L1,BR19 (Marg) L1,DiCE L1,NICE L1,RL L1,R19 L2,BR19 (Mean) L2,BR19 (Marg) L2,DiCE L2,NICE L2,RL L2
mock_data3,standard,noise_0,blr,0.9868686868686869,0.9868760914227016,,1.0,0.9565656565656566,,,,,0.0,0.0,,,,,0.0,0.0,,,
mock_data3,standard,noise_0,lr,0.9868686868686869,0.9868760914227016,1.0,,,1.0,1.0,0.7343434343434343,0.0,,,5.170636360957371,6.02894620657836,18.765604470215017,0.0,,,2.7130143305438166,3.198111534042402,14.32240053936988
mock_data3,standard,noise_0,rf,0.9919191919191919,0.9919655805351251,,,,0.9474747474747475,1.0,0.7303030303030303,,,,5.7664170053316965,5.018994443523173,21.93650665234479,,,,3.042071198812627,2.5950107038761243,16.617156848154487
mock_data3,standard,noise_0,tf,0.9858585858585859,0.9859667904112349,,,,1.0,1.0,,,,,0.0,0.0,,,,,0.0,0.0,
mock_data3,standard,noise_1,blr,0.9151515151515152,0.915092445867376,,1.0,1.0,,,,,5.660675481799468,5.6606760627296815,,,,,3.2129804341324846,3.2129805245891707,,,
mock_data3,standard,noise_1,lr,0.9161616161616162,0.9161307459814922,1.0,,,1.0,1.0,0.8222222222222222,5.568666176107219,,,10.32202012339703,9.54652972783906,116.95689183668196,3.1519186342284278,,,5.386540855247675,4.885637922090461,88.70519917904069
mock_data3,standard,noise_1,rf,0.9454545454545454,0.9453947685983061,,,,0.9363636363636364,1.0,0.9505050505050505,,,,11.74415001403676,9.407949201684694,58.51428474043152,,,,6.03808435732495,4.666653760507467,44.104498433062645
mock_data3,standard,noise_1,tf,0.9202020202020202,0.9201353363065181,,,,1.0,1.0,,,,,10.15139670929968,10.15139670929968,,,,,5.42282283159354,5.42282283159354,
mock_data3,standard,noise_2,blr,0.8565656565656565,0.8561450707807128,,1.0,1.0,,,,,8.710638086917399,8.710638086917402,,,,,4.390243967962931,4.390243967962932,,,
mock_data3,standard,noise_2,lr,0.8565656565656565,0.8561439308914056,1.0,,,1.0,1.0,0.9181818181818182,8.611507221409257,,,12.42482411968532,12.116061042531209,56.86189313177441,4.342597184652436,,,5.912105003304236,5.629250373203105,39.337606313975
mock_data3,standard,noise_2,rf,0.8767676767676768,0.8765660519085177,,,,0.9494949494949495,1.0,0.9161616161616162,,,,13.415395867908844,11.26884768169262,35.13440813764229,,,,6.30534047408143,5.155935929986238,23.702371918004726
mock_data3,standard,noise_2,tf,0.8656565656565657,0.8653575461071202,,,,1.0,1.0,,,,,12.379758595627786,12.379758595627786,,,,,5.974814884115023,5.974814884115023,
mock_data3,standard,noise_3,blr,0.7636363636363637,0.7621721579593407,,1.0,1.0,,,,,12.432962403300852,12.432962403300866,,,,,5.647845998961726,5.647845998961733,,,
